Subject_ID,Year_Exposure,Role_Group,Actively_Recruited,Recruiter1,Loc_Habitation_State1,Loc_Habitation_City1,Country,lat,long
1143,2010,Associate,NotRecruited,Not recruited,Virginia,Ashburn,United States,39.0437192,-77.4874899
1144,2009,Leader,Unknown,Unknown,Virginia,Falls Church,United States,38.882334,-77.1710914
1160,2009,Unknown,NotRecruited,Not recruited,Texas,Kileen,United States,NA,NA
1161,2010,Unknown,NotRecruited,Not recruited,Oregon,Hillsboro,United States,45.5228939,-122.989827
1162,2010,Unknown,NotRecruited,Not recruited,Maryland,Baltimore,United States,39.2908816,-76.610759
1163,2009,Follower,Recruited,Group member,Virginia,Alexandria,United States,38.8051095,-77.0470229
1164,2009,Leader,Recruited,Group member,Virginia,Alexandria,United States,38.8051095,-77.0470229
1165,2019,NoGroup,NotRecruited,Not recruited,California,San Diego,United States,32.7174202,-117.162772
1166,2009,Follower,Recruited,Group member,Virginia,Alexandria,United States,38.8051095,-77.0470229
1167,2009,Follower,Recruited,Group member,Virginia,Alexandria,United States,38.8051095,-77.0470229
1168,2019,Unknown,Unknown,Unknown,North Carolina,Winston-Salem,United States,36.0998131,-80.2440518
1169,2009,Follower,NotRecruited,Not recruited,Arkansas,Little Rock,United States,34.7465071,-92.2896267
1170,2009,Leader,NotRecruited,Not recruited,New York,New York,United States,40.7127281,-74.0060152
1171,2009,Follower,Unknown,Unknown,New York,New York,United States,40.7127281,-74.0060152
1172,2009,Follower,Recruited,Other,New York,Newburgh,United States,41.5000767,-74.0098299
1173,2009,Follower,Recruited,Other,New York,Orange County,United States,NA,NA
1174,2009,Leader,NotRecruited,Not recruited,North Carolina,Willow Spring,United States,35.5957129,-78.7313999
1175,2009,Follower,Recruited,Family,North Carolina,Willow Spring,United States,35.5957129,-78.7313999
1176,2009,Follower,Recruited,Family,North Carolina,Willow Spring,United States,35.5957129,-78.7313999
1178,2009,Follower,Unknown,Unknown,North Carolina,Raleigh,United States,35.7803977,-78.6390989
1179,2009,Follower,Recruited,Friend,North Carolina,Raleigh,United States,35.7803977,-78.6390989
1181,2009,Follower,Recruited,Other,North Carolina,Raleigh,United States,35.7803977,-78.6390989
1182,2008,Follower,Recruited,Other,New York,New York,United States,40.7127281,-74.0060152
1183,2009,Associate,Unknown,Unknown,New Jersey,North Bergen,United States,40.8042674,-74.012084
1184,2018,Unknown,NotRecruited,Not recruited,South Carolina,Greenville,United States,34.851354,-82.3984882
1189,2018,Unknown,NotRecruited,Not recruited,Florida,Fort Pierce,United States,27.4467056,-80.3256056
1190,2018,Follower,Unknown,Unknown,Tennessee,Knoxville,United States,35.9603948,-83.9210261
1191,2010,Leader,NotRecruited,Not recruited,Alaska,King Salmon,United States,58.6884337,-156.6618384
1193,2009,Follower,NotRecruited,Not recruited,New York,Brooklyn,United States,40.6526006,-73.9497211
1195,2019,NoGroup,NotRecruited,Not recruited,North Carolina,-99,United States,35.7336837,-78.6577146
1196,2019,Follower,NotRecruited,Not recruited,Texas,Fort Worth,United States,32.753177,-97.3327459
1199,2019,NoGroup,NotRecruited,Not recruited,California,Fullerton,United States,33.8708215,-117.929416
1200,2010,Unknown,NotRecruited,Not recruited,Hawaii,Honolulu,United States,21.304547,-157.855676
1201,2010,NoGroup,NotRecruited,Not recruited,Virginia,Arlington,United States,38.8903961,-77.0841585
1202,2018,NoGroup,NotRecruited,Not recruited,Minnesota,Minneapolis,United States,44.9772995,-93.2654692
1203,2010,Unknown,NotRecruited,Not recruited,Illinois,Chicago,United States,41.8755616,-87.6244212
1205,2019,NoGroup,Unknown,Unknown,Alaska,Anchorage,United States,61.2163129,-149.894852
1207,2019,NoGroup,Unknown,Unknown,Washington,Kent,United States,47.3826903,-122.2270272
1208,2017,NoGroup,Unknown,Unknown,California,North Highlands,United States,38.6857362,-121.3721745
1213,2019,Follower,Unknown,Unknown,Wyoming,Jackson,United States,43.479965,-110.761815
1284,2020,Follower,Unknown,Unknown,Arizona,-99,United States,NA,NA
1344,2020,NoGroup,NA,Not recruited,Illinois,Peoria,United States,40.6938609,-89.5891008
1362,2018,NoGroup,NotRecruited,Not recruited,Florida,Miami,United States,25.7741566,-80.1935973
1363,2018,NoGroup,NotRecruited,Not recruited,Maryland,Crofton,United States,39.0017772,-76.6874671
